job_id,job_title,company_name,language_and_tools,job_salary,city,province,job_link,salary_min,salary_max,salary_mid,sql,python,excel,tableau,power_bi
job_2dc0470241aa6066,Geophysicist/Data Analyst,Sander Geophysics Limited,,,Ottawa,ON,https://ca.indeed.com/rc/clk?jk=2dc0470241aa6066&bb=JmRuzeGvy_2zALhxc3MIag9ccUAuLOW1Dzrh0SpILtfpCeYI0f2m_V0nJmm3ELKTjI6oUHs2jvoouZ1hcGXJwqz2OdTGrbbdrVEbiYnjEJZ0unmkp5Mtk3Blskfesl9l&xkcb=SoB067M39Kh62wxBJh0JbzkdCdPP&fccid=cf2319525eb667d8&cmp=Sander-Geophysics&ti=Data+Analyst&vjs=3,,,,0,0,0,0,0
job_cbbe0e29b236d2b5,Business Intelligence Data Engineer,"Maximus Services, LLC","Fabric, Power BI, Sql, Machine Learning, Genesys, Python, R, Database","87,875Ã¢â‚¬â€œ$105,000 a year",Toronto,ON,https://ca.indeed.com/rc/clk?jk=cbbe0e29b236d2b5&bb=JmRuzeGvy_2zALhxc3MIatIq34W5eTm_axhH1kaql3EmXHR3DzdSuFA7Wdl-Pw3WNq5e3idEgI6FFppSWY4vfgYXfeESy4Ds6AjbOFB-rVi-Kfwif1ZVHA%3D%3D&xkcb=SoDA67M39Kh62wxBJh0IbzkdCdPP&fccid=9ee077797b9fc8fe&vjs=3,87875.0,87875.0,87875.0,1,1,0,0,1
job_fe8ad423818b244a,"BUSINESS INTELLIGENCE SPECIALIST, FT",Niagara Health System,"Azure, Power BI, SQL, Aws",55.39Ã¢â‚¬â€œ$62.66 an hour,Niagara,ON,https://ca.indeed.com/rc/clk?jk=fe8ad423818b244a&bb=JmRuzeGvy_2zALhxc3MIasG6X7EALWLA2O_NSBRT0GAtAlidPagtu3JT4Rh7ciohYKOi3IHio7mv-y57yBy9boH8aWQljDqbOr-C5jPE-5wiHJO1vsTqvPyzpt502CeN&xkcb=SoBO67M39Kh62wxBJh0PbzkdCdPP&fccid=feb4e2a0ab007ccd&vjs=3,55.0,55.0,55.0,1,0,0,0,1
job_f582e6a0bf265285,Continuous Improvement Analyst,IMP Group,Excel,,Abbotsford,BC,https://ca.indeed.com/rc/clk?jk=f582e6a0bf265285&bb=JmRuzeGvy_2zALhxc3MIahEL5AV6dtTZQr5PwsRIgNx1cUfsps60htAGAWpCPZqUaIpJVkyQWOGRieWMcz9DNN_0gFM8PiR_CiLro_FyuLYPJ5XmcWGvsr18D3R_AvXm&xkcb=SoD667M39Kh62wxBJh0ObzkdCdPP&fccid=ba7d94faed2f7137&vjs=3,,,,0,0,1,0,0
job_4eb5e7ad2131a6e4,IT Business Process Analyst,Ground Effects,"C#, Javascript, Sql, Database",,Windsor,ON,https://ca.indeed.com/rc/clk?jk=4eb5e7ad2131a6e4&bb=JmRuzeGvy_2zALhxc3MIaochWMWKCLOCKMLOI3LICmxboRAGvr9VokqvqQ3b8WwPQwNt4bHPguH5cDTX0ofhW_p7c4XnY1x4D6iDabp3fTU4a1KOcGNs_xEke-O-D4H6&xkcb=SoBn67M39Kh62wxBJh0NbzkdCdPP&fccid=79f22e5df24ef159&cmp=Ground-Effects-Limited-%28CA%29&ti=Business+Process+Analyst&vjs=3,,,,1,0,0,0,0
job_2653c4c869003710,Computer Programmer/Analyst,The City of Vancouver,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript","43.82Ã¢â‚¬â€œ$51.78 an hour, 43.82 to $, 51.78 per hour",Vancouver,BC,https://ca.indeed.com/rc/clk?jk=2653c4c869003710&bb=JmRuzeGvy_2zALhxc3MIam-QkbHBs9IxEWS2X8Vq5lYcBWBv-xsWaa48GYKxE4gvXFo-NyT7906-gqi4svyc_OS9p7FhZbUp2AURPk3g1vcpm8pLztjtIWJrVfvTl4fh&xkcb=SoDT67M39Kh62wxBJh0MbzkdCdPP&fccid=3d91f889655d303e&vjs=3,43.0,43.0,43.0,1,1,0,0,0
job_77bbb022de94357b,"Senior Developer, Business Intelligence",Ontario Health,"Power Bi, Power Platform, Ssis, Sql, Big Data, Sas, Ssrs, Azure, Python, R",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=77bbb022de94357b&bb=JmRuzeGvy_2zALhxc3MIai4zqMfhwYpEFXwkrOhgvkwGCbq6fmLSzeBm95non9TUU6hfVIIbRwvm2CobVtucMiJ_asWcYu57NXO6CDnFyPlL_s5Y6F4Xj0vHjws5l_GU9ErPgelxJV8%3D&xkcb=SoA667M39Kh62wxBJh0DbzkdCdPP&fccid=942edb5b2679caa0&vjs=3,,,,1,1,0,0,1
job_bdd0a80ad00cbe3e,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=bdd0a80ad00cbe3e&bb=JmRuzeGvy_2zALhxc3MIavwkFu9AKt5zgZXleAK8f20pSb46-243ptAS2of-3xMLCqsTS0SdiIVaAJYD66EU02v5z-Z3QDXdcp3A4O2PzbF5cC7U_7S34FcKQUbT1qoj&xkcb=SoCO67M39Kh62wxBJh0CbzkdCdPP&fccid=7daf5f63799421da&vjs=3,,,,1,0,0,0,1
job_7b921fee25e4bc21,Business Analyst/Quality Assurance Analyst,DLL,"Jira, Excel, Reason, Database","75,898Ã¢â‚¬â€œ$113,847 a year, 75,898 - $, 113,847 DLL is",Burlington,ON,https://ca.indeed.com/rc/clk?jk=7b921fee25e4bc21&bb=JmRuzeGvy_2zALhxc3MIatGUmov7hIZ02gLSaLdm0FMdOjh729ZPdQ73iSAg-AIO3nEYz72ODLaXTkRjXIatWpGsOnWlJjkNDffQFbK1RLpZxCrBr3KORWMGd8AbxyRY&xkcb=SoAp67M39Kh62wxBJh0HbzkdCdPP&fccid=9a721325eadff86e&vjs=3,75898.0,113847.0,94872.5,0,0,1,0,0
job_e0dcc5632a6cd36a,Capital & Maintenance Program Analyst,Toronto Hydro,"Gap, Vba, Excel, Sql",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=e0dcc5632a6cd36a&bb=JmRuzeGvy_2zALhxc3MIalQ4S8is-lQ_XCI8Sb1OaUUuOW9MbSXxiKBFD6emKUS_Szd-Cd-paeaPGuUvn3ht8OsHYt6RaOipB3t4W1xA2EfM-_qiTjFmy8gaaB32omrs&xkcb=SoCd67M39Kh62wxBJh0GbzkdCdPP&fccid=3c8d88ba21d4badb&vjs=3,,,,1,0,1,0,0
