job_title,employer,city,province,min_salary,max_salary,avg_salary,sql,python,excel,tableau,power_bi
Systems and Data Analysts,Binance,Remote,Undef,76000.0,89440.0,82720.0,1,1,0,0,0
Business and Marketing Analysts,Canadian Nuclear Laboratories,Remote,Undef,65000.0,87000.0,76000.0,0,0,1,0,0
Business and Technical Analysts,Sander Geophysics Limited,Ottawa,ON,64123.59,86600.0,75361.795,0,0,0,0,0
Systems and Data Analysts,"Maximus Services, LLC",Toronto,ON,87875.0,105000.0,96437.5,1,1,0,0,0
Systems and Data Analysts,Niagara Health System,Niagara,ON,115211.2,130332.8,122772.0,1,0,0,0,0
Senior Supply Chain Data Analysts,IMP Group,Abbotsford,BC,68500.0,87000.0,77750.0,0,0,1,0,0
Senior Business Intelligence Analysts,Ground Effects,Windsor,ON,68000.0,88300.0,78150.0,1,0,0,0,0
Systems and Data Analysts,The City of Vancouver,Vancouver,BC,91145.6,107702.4,99424.0,1,1,0,0,0
Senior Business Intelligence Analysts,Ontario Health,Toronto,ON,68000.0,88300.0,78150.0,1,1,0,0,0
Senior Supply Chain Data Analysts,Softline Technology,Toronto,ON,68500.0,87000.0,77750.0,1,0,0,0,0
Senior Supply Chain Data Analysts,DLL,Burlington,ON,75898.0,113847.0,94872.5,0,0,1,0,0
Senior Business Intelligence Analysts,Toronto Hydro,Toronto,ON,68000.0,88300.0,78150.0,1,0,1,0,0
Senior Business Analysts,Insurance Council of BC,Vancouver,BC,89606.0,128809.0,109207.5,0,0,0,0,0
Senior Business Intelligence Analysts,TMX Group Limited,Toronto,ON,68000.0,88300.0,78150.0,0,0,0,0,0
Business Systems Analysts,Royal Bank of Canada,Toronto,ON,85816.8,91520.0,88668.4,1,0,0,0,0
Systems and Data Analysts,Centre for Addiction and Mental Health,Toronto,ON,57158.4,76232.0,66695.2,0,0,0,0,0
Financial and Operational Analysts,Cenovus Energy,Calgary,AB,50000.0,76458.0,63229.0,0,0,1,0,0
Senior Business Analysts,Royal Bank of Canada,Vancouver,BC,66000.0,84500.0,75250.0,1,0,0,0,0
Senior Data Analysts,Toronto Transit Commission,Toronto,ON,83192.0,104013.0,93602.5,1,1,1,1,0
Systems and Data Analysts,City of Barrie,Barrie,ON,95106.71,127429.57,111268.14,0,0,1,0,0
Business Systems Analysts,Accencis Group,Richmond Hill,ON,90480.0,90480.0,90480.0,0,0,0,0,0
Financial and Operational Analysts,Weyburn Credit Union,Weyburn,SK,61181.0,76458.0,68819.5,1,1,0,1,0
Financial and Operational Analysts,Closing the Gap Healthcare,Mississauga,ON,50000.0,76458.0,63229.0,0,0,1,0,0
Business Systems Analysts,BMO Financial Group,Toronto,ON,74800.0,138600.0,106700.0,0,0,0,0,0
Business and Marketing Analysts,Banff Caribou Properties Ltd.,Banff,AB,65000.0,87000.0,76000.0,1,0,0,0,0
Senior Business Intelligence Analysts,Seequent,Toronto,ON,68000.0,88300.0,78150.0,0,0,0,0,0
Systems and Data Analysts,Seequent,Toronto,ON,76000.0,89440.0,82720.0,0,0,0,0,0
Systems and Data Analysts,University of Alberta,Edmonton,AB,54764.33,73940.15,64352.24,0,1,0,0,0
Senior Business Analysts,Mackenzie Financial Corporation,Greater Toronto Area,ON,30240.56,57200.0,43720.28,1,0,0,0,0
Financial and Operational Analysts,CloudMD Software & Services Inc - CAN,Remote,Undef,45000.0,57200.0,51100.0,0,0,1,0,0
Senior Business Intelligence Analysts,Banque Laurentienne,MontrÃƒÂ©al,QC,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Business Analysts,B.C. College of Nurses and Midwives,Vancouver,BC,104423.0,109644.0,107033.5,0,0,1,0,0
Financial and Operational Analysts,CloudMD Software & Services Inc - CAN,Remote in Beauceville,QC,45000.0,57200.0,51100.0,0,0,1,0,0
Senior Business Intelligence Analysts,Canada Life Assurance Company,London,ON,54500.0,81800.0,68150.0,0,0,1,0,0
Financial and Operational Analysts,CloudMD Software & Services Inc - CAN,Remote in Charlottetown,PE,45000.0,57200.0,51100.0,0,0,1,0,0
Financial and Operational Analysts,KeeWee,Remote,Undef,50000.0,76458.0,63229.0,0,1,1,0,0
Systems and Data Analysts,Snaplii,Mississauga,ON,76000.0,89440.0,82720.0,1,0,1,1,0
Business and Technical Analysts,CAE,Saint-Laurent,QC,30240.56,57200.0,43720.28,0,0,0,0,0
Systems and Data Analysts,Electronic Arts,Vancouver,BC,107600.0,147100.0,127350.0,1,1,0,0,0
Systems and Data Analysts,Ontario Health,Toronto,ON,76000.0,89440.0,82720.0,0,0,1,0,0
Senior Data Analysts,CNOOC International,Calgary,AB,69000.0,86000.0,77500.0,0,1,1,0,0
Senior Data Analysts,Appcast,Fredericton,NB,69000.0,86000.0,77500.0,1,1,1,1,0
Business Systems Analysts,"Bridgenext, Inc",Remote,Undef,85816.8,91520.0,88668.4,1,1,1,1,0
Senior Data Analysts,Leonardo DRS,Bedford,NS,69000.0,86000.0,77500.0,0,0,0,0,0
Senior Business Analysts,Autodesk,Toronto,ON,66000.0,84500.0,75250.0,1,1,0,1,0
Business and Marketing Analysts,Insurance Bureau of Canada,Toronto,ON,65000.0,87000.0,76000.0,0,0,1,0,0
Systems and Data Analysts,owl.co,Remote in Toronto,ON,41600.0,57200.0,49400.0,0,0,0,0,0
Senior Business Intelligence Analysts,Ingersoll Rand,Barrie,ON,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Business Analysts,Bell,Toronto,ON,66000.0,84500.0,75250.0,1,0,0,0,0
Senior Business Analysts,Loblaw Companies Limited,Brampton,ON,66000.0,84500.0,75250.0,1,1,1,0,0
